company_rating,model_rating,bought_at,months_used,issues_rating,resale_value,output
2,5,11892,3,5,5586,0
3,2,19421,6,3,6138,0
2,3,6362,0,3,4205,1
2,3,7157,8,2.5,3348,1
4,3,18571,4,2,8867,1
3,3,13335,18,2.5,4250,1
3,2,13392,22,0,3799,0
4,3.5,17389,12,3,10460,1
3,3,13095,8,1,8212,1
2,2,9163,17,3.5,2739,0
5,2,34796,10,2,16911,0
2,2,11727,15,3,4948,1
5,4,32038,2,2,23228,1
3,2,13555,17,0,4321,1
3,3,17623,26,1,3659,1
3,4,13412,2,0,6255,0
4,3.5,19439,7,2,10393,0
2,5,8233,6,3.5,3551,0
4,3,16513,11,1,8203,0
3,2,19032,17,0,5389,0
3,2,29662,29,2,1336,0
2,3,10016,3,1,6872,1
4,3,18820,16,2,10034,1
2,2,9060,10,5,3279,1
3,4,12133,3,2.5,5923,0
2,2,11831,7,0,8172,1
3,3,26883,27,1,4312,0
5,3.5,20267,18,1,7497,0
3,4,22689,13,0,10989,0
3,5,19194,2,3,13544,1
2,2,9149,4,3,5469,1
4,3.5,21153,18,0,11177,1
3,4,13528,14,0,5743,1
2,5,11554,10,2.5,5402,0
3,4,13302,20,2.5,4540,1
5,3.5,54366,25,2,13627,0
4,3,19502,8,1,9254,0
2,3,6911,10,4.5,1847,1
5,4,24474,8,0,16240,1
3,3,11568,18,1,5217,1
3,2,13742,22,2.5,3722,1
4,4,16115,17,3,11309,1
2,2,10759,6,4.5,5218,1
2,3,8335,12,2.5,3442,1
3,2,11635,2,3,6430,0
4,3,22946,19,0,11426,1
5,3,20876,19,1,6621,0
3,3,9364,21,3,3010,1
2,5,7604,9,2.5,3171,1
5,5,15778,17,0,7708,1
5,4,43595,21,2,13361,0
5,3.5,16547,16,0,7445,1
4,3.5,18419,0,3,9721,0
2,2,10405,4,2.5,6387,1
5,3.5,24286,25,0,3293,0
4,3.5,18056,2,2.5,9314,0
5,2,34996,22,2,8315,0
4,3.5,17432,2,1,8731,0
3,2,12257,15,3,3733,1
3,2,12178,22,0,3677,1
3,3,15661,7,4,6813,0
4,3.5,17290,11,2,9868,1
2,3,7699,5,4.5,3295,0
5,4,35287,27,0,5664,0
2,2,6130,3,3,3546,1
4,3.5,20574,5,0,9918,0
3,4,13688,18,3,4744,1
5,4,50562,28,0,9891,0
5,3.5,33348,17,1,12139,0
3,5,9766,14,3,9194,1
